cultivo,temp_min,temp_max,ph_min,ph_max,humedad_min,humedad_max,precipitacion_min,precipitacion_max,tipo_suelo,textura_optima,materia_organica_min,emoji,ciclo_dias,rendimiento_promedio
Maíz,24,30,5.5,7.5,60,85,400,1200,Franco;Franco-Arcilloso,Franco,2.0,🌽,90,4.2
Yuca,20,35,4.5,8.0,50,80,500,1500,Franco-Arenoso;Franco,Franco-Arenoso,1.0,🥔,270,12.5
Arroz,20,33,5.0,7.0,70,90,800,2000,Arcilloso;Franco-Arcilloso,Arcilloso,2.5,🍚,120,5.8
Frijol,18,28,5.5,7.0,50,75,300,800,Franco;Franco-Arenoso,Franco,1.5,🫘,75,1.8
Ñame,25,35,5.5,7.0,65,85,800,1500,Franco-Arcilloso;Franco,Franco-Arcilloso,2.5,🌱,210,12.0
Plátano,24,30,5.5,7.5,70,90,1200,2500,Franco;Franco-Arcilloso,Franco,3.0,🍌,365,15.0
Cacao,21,30,5.0,7.0,75,90,1500,2500,Franco-Arcilloso,Franco-Arcilloso,3.5,🍫,180,1.2
Algodón,20,30,5.5,7.5,50,70,500,1200,Franco;Franco-Arenoso,Franco,1.5,🌿,150,2.5
Sorgo,22,32,5.5,7.5,50,75,400,1000,Franco;Franco-Arenoso,Franco-Arenoso,1.5,🌾,110,3.5
Palma_Aceitera,24,30,4.5,7.0,75,90,1800,2800,Franco-Arcilloso;Arcilloso,Franco-Arcilloso,3.0,🛢️,365,20.0
